iter	Passed	Remaining
0	146	146052
1	148	73943
2	150	49869
3	152	37910
4	154	30782
5	156	25984
6	158	22528
7	160	19929
8	162	17884
9	164	16244
10	165	14906
11	167	13797
12	169	12890
13	171	12080
14	173	11395
15	175	10775
16	176	10219
17	178	9728
18	180	9299
19	181	8902
20	183	8547
21	185	8225
22	186	7938
23	188	7667
24	190	7417
25	191	7180
26	193	6964
27	194	6765
28	196	6579
29	197	6401
30	199	6235
31	201	6085
32	203	5950
33	204	5814
34	206	5681
35	207	5563
36	209	5449
37	210	5341
38	212	5232
39	213	5132
40	215	5038
41	217	4954
42	218	4868
43	220	4784
44	221	4708
45	223	4630
46	224	4557
47	226	4487
48	227	4420
49	229	4353
50	231	4299
51	232	4238
52	233	4180
53	235	4124
54	236	4070
55	238	4020
56	240	3973
57	241	3924
58	243	3880
59	245	3838
60	247	3804
61	249	3770
62	251	3735
63	252	3697
64	254	3657
65	255	3617
66	256	3578
67	258	3544
68	260	3512
69	262	3481
70	263	3446
71	264	3415
72	266	3382
73	267	3350
74	269	3322
75	270	3291
76	272	3262
77	273	3234
78	275	3210
79	276	3183
80	278	3155
81	279	3129
82	280	3096
83	281	3071
84	282	3046
85	284	3022
86	285	2998
87	286	2974
88	287	2946
89	288	2919
90	289	2894
91	290	2870
92	292	2848
93	293	2825
94	294	2801
95	294	2777
96	295	2753
97	296	2729
98	297	2706
99	298	2684
100	299	2663
101	300	2642
102	301	2621
103	301	2601
104	302	2581
105	304	2565
106	305	2547
107	306	2529
108	307	2510
109	307	2491
110	308	2473
111	309	2455
112	310	2438
113	311	2420
114	312	2404
115	313	2385
116	313	2366
117	314	2347
118	314	2329
119	315	2310
120	315	2293
121	316	2274
122	316	2257
123	317	2240
124	317	2224
125	318	2208
126	319	2196
127	320	2181
128	320	2165
129	321	2150
130	321	2134
131	322	2119
132	322	2104
133	323	2090
134	324	2076
135	324	2062
136	325	2048
137	325	2034
138	326	2021
139	327	2009
140	327	1996
141	328	1982
142	328	1969
143	329	1957
144	329	1945
145	330	1932
146	331	1920
147	331	1908
148	332	1897
149	332	1885
150	333	1875
151	334	1867
152	335	1856
153	335	1845
154	336	1834
155	337	1823
156	337	1812
157	338	1802
158	338	1791
159	339	1781
160	339	1769
161	340	1759
162	340	1749
163	341	1739
164	341	1730
165	342	1720
166	343	1711
167	343	1701
168	344	1692
169	344	1683
170	345	1674
171	345	1665
172	346	1656
173	347	1648
174	347	1639
175	348	1632
176	349	1626
177	350	1618
178	351	1610
179	351	1602
180	352	1594
181	353	1587
182	353	1578
183	354	1570
184	354	1562
185	355	1554
186	355	1547
187	356	1539
188	356	1531
189	357	1524
190	358	1517
191	358	1509
192	359	1502
